CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.4, d=3, alpha=[0.33333333 0.33333333 0.33333333]
EYD tableau: [40, 34, 25, 21] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 34, 26, 16] with error 0.15
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [43, 35, 24, 18] with error 0.15
MLE tableau: [32. 32. 28. 28.] with error 0.0333
EYD tableau: [42, 32, 24, 22] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 35, 27, 16] with error 0.1417
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [45, 33, 28, 14] with error 0.15
MLE tableau: [35. 34. 34. 17.] with error 0.1083
EYD tableau: [46, 31, 25, 18] with error 0.1417
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [44, 32, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 31, 27, 19] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [50, 35, 18, 17] with error 0.2083
MLE tableau: [45. 37. 19. 19.] with error 0.1833
EYD tableau: [47, 31, 28, 14] with error 0.15
MLE tableau: [39. 32. 32. 17.] with error 0.1083
EYD tableau: [42, 34, 26, 18] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 33, 26, 17] with error 0.1417
MLE tableau: [32. 32. 31. 25.] with error 0.0417
EYD tableau: [42, 35, 25, 18] with error 0.1417
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [45, 35, 22, 18] with error 0.1667
MLE tableau: [37. 36. 24. 23.] with error 0.1083
EYD tableau: [47, 33, 23, 17] with error 0.1667
MLE tableau: [42. 26. 26. 26.] with error 0.1
EYD tableau: [43, 35, 26, 16] with error 0.15
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [44, 35, 22, 19] with error 0.1583
MLE tableau: [35. 35. 25. 25.] with error 0.0833
EYD tableau: [42, 29, 29, 20] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [47, 31, 28, 14] with error 0.15
MLE tableau: [39. 32. 32. 17.] with error 0.1083
EYD tableau: [42, 32, 26, 20] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 32, 29, 15] with error 0.1333
MLE tableau: [34. 34. 33. 19.] with error 0.0917
EYD tableau: [37, 36, 28, 19] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [48, 34, 25, 13] with error 0.1833
MLE tableau: [42. 31. 31. 16.] with error 0.1167
EYD tableau: [38, 33, 26, 23] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [49, 28, 26, 17] with error 0.1583
MLE tableau: [45. 25. 25. 25.] with error 0.125
EYD tableau: [39, 35, 25, 21] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 33, 27, 18] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 35, 25, 18] with error 0.1417
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [50, 27, 26, 17] with error 0.1667
MLE tableau: [47. 25. 24. 24.] with error 0.1417
EYD tableau: [42, 37, 25, 16] with error 0.1583
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [40, 33, 26, 21] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 32, 27, 17] with error 0.1333
MLE tableau: [32. 31. 31. 26.] with error 0.0333
EYD tableau: [35, 33, 30, 22] with error 0.0667
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 36, 30, 16] with error 0.1167
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [46, 34, 27, 13] with error 0.1667
MLE tableau: [35. 35. 35. 15.] with error 0.125
EYD tableau: [42, 35, 22, 21] with error 0.1417
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [45, 34, 23, 18] with error 0.1583
MLE tableau: [35. 35. 25. 25.] with error 0.0833
EYD tableau: [41, 34, 25, 20] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [45, 32, 26, 17] with error 0.1417
MLE tableau: [38. 28. 27. 27.] with error 0.0667
EYD tableau: [42, 33, 29, 16] with error 0.125
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [43, 33, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [41, 35, 28, 16] with error 0.1333
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [49, 32, 24, 15] with error 0.175
