CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.41773767 0.34108138 0.24118095]
MLE tableau: [35. 35. 35. 15.] with error 0.0714
EYD tableau: [44, 32, 25, 19] with error 0.0413
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [45, 37, 24, 14] with error 0.0761
MLE tableau: [38. 38. 26. 18.] with error 0.0349
EYD tableau: [46, 36, 24, 14] with error 0.0761
MLE tableau: [38. 38. 26. 18.] with error 0.0349
EYD tableau: [46, 37, 22, 15] with error 0.0845
MLE tableau: [39. 39. 21. 21.] with error 0.0555
EYD tableau: [51, 35, 24, 10] with error 0.1095
MLE tableau: [47. 31. 30. 12.] with error 0.0862
EYD tableau: [46, 33, 22, 19] with error 0.0579
MLE tableau: [40. 27. 27. 26.] with error 0.0619
EYD tableau: [45, 35, 26, 14] with error 0.0595
MLE tableau: [35. 34. 34. 17.] with error 0.0548
EYD tableau: [43, 38, 22, 17] with error 0.0678
MLE tableau: [38. 38. 22. 22.] with error 0.0555
EYD tableau: [47, 33, 23, 17] with error 0.0663
MLE tableau: [42. 26. 26. 26.] with error 0.0786
EYD tableau: [47, 39, 20, 14] with error 0.1095
MLE tableau: [41. 41. 19. 19.] with error 0.0761
EYD tableau: [47, 33, 24, 16] with error 0.0663
MLE tableau: [42. 28. 25. 25.] with error 0.0702
EYD tableau: [45, 31, 25, 19] with error 0.0496
MLE tableau: [38. 28. 27. 27.] with error 0.0623
EYD tableau: [49, 34, 23, 14] with error 0.0845
MLE tableau: [44. 34. 23. 19.] with error 0.0428
EYD tableau: [46, 38, 20, 16] with error 0.0928
MLE tableau: [40. 40. 20. 20.] with error 0.0634
EYD tableau: [43, 39, 20, 18] with error 0.0761
MLE tableau: [38. 38. 22. 22.] with error 0.0555
EYD tableau: [51, 32, 20, 17] with error 0.0996
MLE tableau: [48. 24. 24. 24.] with error 0.1119
EYD tableau: [53, 34, 21, 12] with error 0.1178
MLE tableau: [50. 33. 21. 16.] with error 0.0913
EYD tableau: [53, 29, 24, 14] with error 0.1163
MLE tableau: [51. 23. 23. 23.] with error 0.1286
EYD tableau: [42, 38, 24, 16] with error 0.0595
MLE tableau: [36. 36. 24. 24.] with error 0.0555
EYD tableau: [49, 34, 21, 16] with error 0.0845
MLE tableau: [44. 34. 21. 21.] with error 0.0551
EYD tableau: [49, 37, 22, 12] with error 0.1095
MLE tableau: [41. 41. 23. 15.] with error 0.0761
EYD tableau: [47, 36, 23, 14] with error 0.0845
MLE tableau: [39. 39. 23. 19.] with error 0.0432
EYD tableau: [45, 35, 25, 15] with error 0.0595
MLE tableau: [34. 34. 33. 19.] with error 0.0464
EYD tableau: [46, 36, 24, 14] with error 0.0761
MLE tableau: [38. 38. 26. 18.] with error 0.0349
EYD tableau: [48, 33, 23, 16] with error 0.0746
MLE tableau: [44. 28. 24. 24.] with error 0.0786
EYD tableau: [49, 31, 26, 14] with error 0.0829
MLE tableau: [45. 29. 28. 18.] with error 0.0528
EYD tableau: [42, 35, 26, 17] with error 0.0345
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [45, 40, 20, 15] with error 0.1011
MLE tableau: [41. 41. 19. 19.] with error 0.0761
EYD tableau: [44, 36, 24, 16] with error 0.0595
MLE tableau: [37. 36. 24. 23.] with error 0.0472
EYD tableau: [46, 31, 25, 18] with error 0.0579
MLE tableau: [40. 27. 27. 26.] with error 0.0619
EYD tableau: [44, 34, 26, 16] with error 0.0428
MLE tableau: [33. 33. 33. 21.] with error 0.0572
EYD tableau: [44, 34, 24, 18] with error 0.0428
MLE tableau: [33. 33. 27. 27.] with error 0.0623
EYD tableau: [49, 32, 22, 17] with error 0.0829
MLE tableau: [45. 25. 25. 25.] with error 0.0952
EYD tableau: [41, 38, 25, 16] with error 0.0511
MLE tableau: [33. 33. 33. 21.] with error 0.0572
EYD tableau: [48, 33, 32, 7] with error 0.1112
MLE tableau: [38. 37. 37.  8.] with error 0.1048
EYD tableau: [46, 33, 24, 17] with error 0.0579
MLE tableau: [40. 27. 27. 26.] with error 0.0619
EYD tableau: [49, 32, 24, 15] with error 0.0829
MLE tableau: [45. 27. 26. 22.] with error 0.0702
EYD tableau: [48, 31, 22, 19] with error 0.0746
MLE tableau: [44. 26. 25. 25.] with error 0.0869
EYD tableau: [42, 34, 27, 17] with error 0.0261
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [41, 31, 28, 20] with error 0.0235
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [49, 32, 28, 11] with error 0.0862
MLE tableau: [43. 32. 32. 13.] with error 0.0695
EYD tableau: [40, 35, 28, 17] with error 0.021
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [45, 32, 26, 17] with error 0.0496
MLE tableau: [38. 28. 27. 27.] with error 0.0623
EYD tableau: [46, 34, 25, 15] with error 0.0595
MLE tableau: [38. 32. 31. 19.] with error 0.0282
EYD tableau: [48, 33, 27, 12] with error 0.0746
MLE tableau: [40. 33. 33. 14.] with error 0.0528
EYD tableau: [49, 33, 26, 12] with error 0.0829
MLE tableau: [44. 31. 31. 14.] with error 0.0695
EYD tableau: [43, 33, 26, 18] with error 0.0329
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [57, 31, 19, 13] with error 0.1496
MLE tableau: [55. 29. 18. 18.] with error 0.1329
EYD tableau: [51, 28, 21, 20] with error 0.1036
MLE tableau: [48. 24. 24. 24.] with error 0.1119
EYD tableau: [56, 34, 17, 13] with error 0.1428
MLE tableau: [54. 34. 16. 16.] with error 0.1261
EYD tableau: [45, 38, 25, 12] with error 0.0845
MLE tableau: [36. 35. 35. 14.] with error 0.0714
EYD tableau: [42, 39, 22, 17] with error 0.0678
MLE tableau: [38. 38. 22. 22.] with error 0.0555
EYD tableau: [43, 33, 25, 19] with error 0.0329
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [48, 38, 19, 15] with error 0.1095
MLE tableau: [41. 41. 19. 19.] with error 0.0761
EYD tableau: [49, 30, 23, 18] with error 0.0829
MLE tableau: [45. 25. 25. 25.] with error 0.0952
EYD tableau: [45, 31, 27, 17] with error 0.0496
MLE tableau: [38. 28. 27. 27.] with error 0.0623
EYD tableau: [40, 36, 26, 18] with error 0.0261
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [44, 34, 24, 18] with error 0.0428
MLE tableau: [33. 33. 27. 27.] with error 0.0623
EYD tableau: [48, 38, 24, 10] with error 0.1095
MLE tableau: [41. 40. 27. 12.] with error 0.0678
EYD tableau: [42, 36, 25, 17] with error 0.0428
MLE tableau: [32. 32. 32. 24.] with error 0.0739
EYD tableau: [45, 35, 25, 15] with error 0.0595
MLE tableau: [34. 34. 33. 19.] with error 0.0464
EYD tableau: [40, 34, 30, 16] with error 0.0294
MLE tableau: [33. 33. 33. 21.] with error 0.0572
EYD tableau: [43, 38, 26, 13] with error 0.0678
MLE tableau: [35. 35. 35. 15.] with error 0.0714
EYD tableau: [46, 36, 23, 15] with error 0.0761
MLE tableau: [39. 38. 22. 21.] with error 0.0472
EYD tableau: [40, 33, 26, 21] with error 0.0202
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [48, 36, 21, 15] with error 0.0928
MLE tableau: [40. 40. 20. 20.] with error 0.0634
EYD tableau: [49, 30, 27, 14] with error 0.0829
MLE tableau: [45. 29. 28. 18.] with error 0.0528
EYD tableau: [43, 37, 25, 15] with error 0.0595
MLE tableau: [34. 34. 33. 19.] with error 0.0464
EYD tableau: [45, 34, 29, 12] with error 0.0627
MLE tableau: [36. 35. 35. 14.] with error 0.0714
EYD tableau: [47, 37, 21, 15] with error 0.0928
MLE tableau: [40. 40. 20. 20.] with error 0.0634
EYD tableau: [40, 32, 29, 19] with error 0.0195
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [47, 38, 21, 14] with error 0.1011
MLE tableau: [41. 41. 19. 19.] with error 0.0761
EYD tableau: [46, 37, 25, 12] with error 0.0845
MLE tableau: [36. 35. 35. 14.] with error 0.0714
EYD tableau: [45, 30, 24, 21] with error 0.0619
MLE tableau: [36. 28. 28. 28.] with error 0.0739
EYD tableau: [44, 33, 25, 18] with error 0.0413
MLE tableau: [34. 29. 29. 28.] with error 0.0822
EYD tableau: [50, 35, 24, 11] with error 0.1011
MLE tableau: [45. 33. 29. 13.] with error 0.0612
EYD tableau: [54, 30, 21, 15] with error 0.1246
MLE tableau: [52. 23. 23. 22.] with error 0.1286
EYD tableau: [48, 39, 23, 10] with error 0.1178
MLE tableau: [42. 41. 25. 12.] with error 0.0845
EYD tableau: [51, 29, 26, 14] with error 0.0996
MLE tableau: [48. 24. 24. 24.] with error 0.1119
EYD tableau: [45, 35, 23, 17] with error 0.0595
MLE tableau: [37. 36. 24. 23.] with error 0.0472
EYD tableau: [42, 35, 34, 9] with error 0.0877
MLE tableau: [37. 37. 36. 10.] with error 0.0964
EYD tableau: [44, 37, 23, 16] with error 0.0678
MLE tableau: [38. 37. 23. 22.] with error 0.0472
EYD tableau: [42, 34, 31, 13] with error 0.0544
MLE tableau: [35. 35. 35. 15.] with error 0.0714
EYD tableau: [45, 30, 26, 19] with error 0.0496
MLE tableau: [37. 28. 28. 27.] with error 0.0655
EYD tableau: [45, 39, 20, 16] with error 0.0928
MLE tableau: [40. 40. 20. 20.] with error 0.0634
EYD tableau: [51, 32, 26, 11] with error 0.0996
MLE tableau: [47. 30. 30. 13.] with error 0.0862
EYD tableau: [51, 32, 22, 15] with error 0.0996
MLE tableau: [48. 27. 23. 22.] with error 0.0952
EYD tableau: [43, 35, 22, 20] with error 0.0468
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [47, 36, 23, 14] with error 0.0845
MLE tableau: [39. 39. 23. 19.] with error 0.0432
EYD tableau: [48, 34, 20, 18] with error 0.0761
MLE tableau: [42. 34. 22. 22.] with error 0.0468
EYD tableau: [45, 33, 28, 14] with error 0.0528
MLE tableau: [35. 34. 34. 17.] with error 0.0548
EYD tableau: [49, 28, 28, 15] with error 0.0862
MLE tableau: [45. 25. 25. 25.] with error 0.0952
EYD tableau: [42, 38, 26, 14] with error 0.0595
MLE tableau: [35. 34. 34. 17.] with error 0.0548
EYD tableau: [42, 36, 23, 19] with error 0.0428
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [45, 36, 26, 13] with error 0.0678
MLE tableau: [35. 35. 35. 15.] with error 0.0714
EYD tableau: [44, 39, 26, 11] with error 0.0845
MLE tableau: [36. 36. 35. 13.] with error 0.0798
EYD tableau: [46, 37, 24, 13] with error 0.0845
MLE tableau: [39. 38. 27. 16.] with error 0.0349
EYD tableau: [52, 36, 19, 13] with error 0.1261
MLE tableau: [47. 38. 18. 17.] with error 0.1011
EYD tableau: [54, 29, 21, 16] with error 0.1246
MLE tableau: [51. 23. 23. 23.] with error 0.1286
EYD tableau: [50, 31, 22, 17] with error 0.0913
