CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.33333333 0.33333333 0.33333333]
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [48, 31, 25, 16] with error 0.1583
MLE tableau: [44. 26. 25. 25.] with error 0.1167
EYD tableau: [39, 34, 26, 21] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 33, 29, 18] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 33, 27, 20] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 35, 29, 16] with error 0.125
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [46, 33, 21, 20] with error 0.1583
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [42, 37, 22, 19] with error 0.1583
MLE tableau: [34. 34. 26. 26.] with error 0.0667
EYD tableau: [42, 37, 27, 14] with error 0.1583
MLE tableau: [35. 34. 34. 17.] with error 0.1083
EYD tableau: [43, 30, 26, 21] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [49, 28, 24, 19] with error 0.1583
MLE tableau: [45. 25. 25. 25.] with error 0.125
EYD tableau: [35, 32, 29, 24] with error 0.0583
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [39, 37, 27, 17] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [45, 40, 21, 14] with error 0.2083
MLE tableau: [41. 41. 19. 19.] with error 0.1833
EYD tableau: [47, 32, 21, 20] with error 0.1583
MLE tableau: [42. 26. 26. 26.] with error 0.1
EYD tableau: [38, 33, 29, 20] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [46, 32, 24, 18] with error 0.15
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [40, 34, 31, 15] with error 0.125
MLE tableau: [34. 34. 33. 19.] with error 0.0917
EYD tableau: [46, 32, 23, 19] with error 0.15
MLE tableau: [40. 27. 27. 26.] with error 0.0833
EYD tableau: [41, 33, 28, 18] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 31, 29, 20] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [41, 34, 29, 16] with error 0.125
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [39, 34, 25, 22] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 34, 26, 17] with error 0.1417
MLE tableau: [32. 32. 31. 25.] with error 0.0417
EYD tableau: [40, 33, 29, 18] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [39, 34, 26, 21] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 32, 25, 23] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [39, 35, 25, 21] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 33, 24, 23] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [41, 31, 28, 20] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [47, 33, 24, 16] with error 0.1667
